iter	Logloss
0	0.6656423817
1	0.6431177636
2	0.6226749249
3	0.604755566
4	0.5879530267
5	0.5700386176
6	0.5582609706
7	0.5428386989
8	0.5335989271
9	0.5202668278
10	0.5103155251
11	0.4997199859
12	0.495194088
13	0.4867385872
14	0.4772533763
15	0.4704432563
16	0.4675951749
17	0.4617641185
18	0.456475806
19	0.4538878647
20	0.447823092
21	0.4442816595
22	0.4398040854
23	0.4360651733
24	0.4333262514
25	0.4321807859
26	0.4300749089
27	0.4267078733
28	0.4236407597
29	0.4209966142
30	0.4193869082
31	0.4173302904
32	0.4150719752
33	0.4122442555
34	0.4103457406
35	0.4088105931
36	0.4066589872
37	0.4046594326
38	0.4021802373
39	0.4005878146
40	0.3976840057
41	0.396466847
42	0.3946403168
43	0.3928485151
44	0.3910822092
45	0.3890742895
46	0.3881117547
47	0.3871844232
48	0.3855917968
49	0.3838051773
50	0.3826529185
51	0.3819030756
52	0.3807962727
53	0.3796091192
54	0.378746648
55	0.3779410251
56	0.3773953885
57	0.3767644661
58	0.3761666164
59	0.3752386424
60	0.3741974274
61	0.3733652764
62	0.3721785994
63	0.3715735662
64	0.3702485277
65	0.3694832718
66	0.3681792077
67	0.3672331255
68	0.3665969868
69	0.3656728649
70	0.3649204784
71	0.3640669958
72	0.363758634
73	0.3632059937
74	0.3623465837
75	0.3616828502
76	0.360931257
77	0.3602145675
78	0.3592768263
79	0.3585155946
80	0.3578759466
81	0.3560645074
82	0.3555682397
83	0.3542955217
84	0.3537300775
85	0.3532218508
86	0.3526404565
87	0.351837305
88	0.3511165498
89	0.3501295301
90	0.3496297384
91	0.3492509929
92	0.3483992933
93	0.346997889
94	0.3466886736
95	0.3459436673
96	0.3450967575
97	0.344539331
98	0.3437291545
99	0.3434379263
100	0.3430397845
101	0.3416911806
102	0.340793292
103	0.3398509671
104	0.3393079326
105	0.3389582962
106	0.3373515897
107	0.3368575844
108	0.3365055707
109	0.3359085128
110	0.3356553504
111	0.334124417
112	0.3327088926
113	0.33248044
114	0.3322332644
115	0.331321132
116	0.3310586388
117	0.3304520401
118	0.3299372496
119	0.3293072218
120	0.3287386913
121	0.3279618844
122	0.3275100574
123	0.3270651131
124	0.3266752627
125	0.3263420597
126	0.3254716785
127	0.3245328125
128	0.3243145897
129	0.3237909592
130	0.3233114985
131	0.3226012567
132	0.3220681724
133	0.3209299461
134	0.3204492423
135	0.3201821872
136	0.3190902423
137	0.3183241508
138	0.3177654081
139	0.3168219593
140	0.3159841412
141	0.3149084425
142	0.3144513321
143	0.3138347104
144	0.3135019554
145	0.3129337758
146	0.3125200167
147	0.3121084118
148	0.3116308007
149	0.3104783526
150	0.309917326
151	0.3087485281
152	0.3075903536
153	0.3064185448
154	0.3060262341
155	0.3059044827
156	0.3049982374
157	0.3038451374
158	0.3035626566
159	0.3034044105
160	0.3023928232
161	0.3015749614
162	0.3008640432
163	0.3006604403
164	0.2997902418
165	0.2990508965
166	0.2984768984
167	0.2976495706
168	0.2968199864
169	0.2960300757
170	0.2959504137
171	0.2956243363
172	0.2952875835
173	0.2945565241
174	0.2945180197
175	0.294144467
176	0.2940442076
177	0.2928274754
178	0.2921324085
179	0.2914843452
180	0.2910229857
181	0.29055015
182	0.2898856998
183	0.2898335178
184	0.2888147139
185	0.2882187831
186	0.2879478793
187	0.2874389315
188	0.2867709387
189	0.2866132295
190	0.2857582054
191	0.2847826321
192	0.2843187417
193	0.2839227951
194	0.2832047247
195	0.2824748195
196	0.2818400454
197	0.2812652241
198	0.2805159042
199	0.2797955216
